datetime,open,high,low,close,volume
2025-08-02 11:15:00,2.9321,2.9413,2.9314,2.9409,233181.5
2025-08-02 11:20:00,2.9409,2.9465,2.94,2.9444,311092.4
2025-08-02 11:25:00,2.9445,2.962,2.9427,2.9595,473673.7
2025-08-02 11:30:00,2.9595,2.9611,2.9524,2.9524,283001.4
2025-08-02 11:35:00,2.9524,2.9524,2.94,2.9508,745272.0
2025-08-02 11:40:00,2.9508,2.9544,2.9461,2.9463,296211.0
2025-08-02 11:45:00,2.9464,2.9542,2.9457,2.9474,347424.2
2025-08-02 11:50:00,2.9475,2.949,2.9403,2.9413,269947.2
2025-08-02 11:55:00,2.9414,2.9432,2.9376,2.9404,270931.6
2025-08-02 12:00:00,2.9404,2.9435,2.9316,2.9318,409235.3
2025-08-02 12:05:00,2.9317,2.9412,2.9317,2.9374,246404.2
2025-08-02 12:10:00,2.9374,2.9397,2.9352,2.9376,225048.9
2025-08-02 12:15:00,2.9376,2.9421,2.9342,2.9421,264993.2
2025-08-02 12:20:00,2.9422,2.9454,2.9318,2.9329,640080.0
2025-08-02 12:25:00,2.9329,2.9351,2.929,2.9325,366105.3
2025-08-02 12:30:00,2.9325,2.9357,2.9246,2.9275,461956.8
2025-08-02 12:35:00,2.9276,2.9379,2.9276,2.9346,188936.3
2025-08-02 12:40:00,2.9346,2.9363,2.9235,2.9246,406997.0
2025-08-02 12:45:00,2.9245,2.9336,2.9236,2.9305,252089.7
2025-08-02 12:50:00,2.9305,2.9423,2.9282,2.9422,297351.4
2025-08-02 12:55:00,2.9421,2.9425,2.9386,2.9387,360787.7
2025-08-02 13:00:00,2.9387,2.9412,2.9285,2.931,442716.3
2025-08-02 13:05:00,2.9309,2.9329,2.9222,2.9264,197792.2
2025-08-02 13:10:00,2.9264,2.9309,2.9245,2.9245,241773.2
2025-08-02 13:15:00,2.9246,2.9305,2.924,2.929,187457.0
2025-08-02 13:20:00,2.929,2.9348,2.928,2.9323,100135.7
2025-08-02 13:25:00,2.9323,2.9343,2.9247,2.9251,230705.3
2025-08-02 13:30:00,2.9251,2.9383,2.9184,2.9356,670162.7
2025-08-02 13:35:00,2.9357,2.9386,2.9265,2.929,421050.9
2025-08-02 13:40:00,2.929,2.9349,2.9252,2.9314,284237.8
2025-08-02 13:45:00,2.9313,2.9398,2.93,2.9363,283548.8
2025-08-02 13:50:00,2.9362,2.9406,2.9327,2.9401,160636.1
2025-08-02 13:55:00,2.9401,2.9466,2.9384,2.9392,496304.0
2025-08-02 14:00:00,2.9393,2.9411,2.924,2.9306,599958.1
2025-08-02 14:05:00,2.9306,2.9342,2.9255,2.9265,246300.4
2025-08-02 14:10:00,2.9265,2.9275,2.9184,2.921,782742.6
2025-08-02 14:15:00,2.921,2.921,2.9126,2.9127,667756.6
2025-08-02 14:20:00,2.9128,2.9162,2.9036,2.9111,1104480.9
2025-08-02 14:25:00,2.9112,2.9119,2.905,2.9101,305898.5
2025-08-02 14:30:00,2.91,2.91,2.8944,2.8951,2609822.1
2025-08-02 14:35:00,2.8951,2.8969,2.8822,2.8846,2209929.4
2025-08-02 14:40:00,2.8847,2.8921,2.88,2.8889,1559722.5
2025-08-02 14:45:00,2.889,2.8916,2.8809,2.8821,925823.2
2025-08-02 14:50:00,2.8821,2.887,2.8716,2.8789,1743023.4
2025-08-02 14:55:00,2.8788,2.8844,2.8714,2.8789,870532.3
2025-08-02 15:00:00,2.8788,2.8889,2.8757,2.8845,1111171.3
2025-08-02 15:05:00,2.8845,2.8888,2.8784,2.8869,507202.8
2025-08-02 15:10:00,2.8868,2.8878,2.8737,2.8827,596577.5
2025-08-02 15:15:00,2.8828,2.8942,2.8818,2.887,781111.9
2025-08-02 15:20:00,2.887,2.892,2.8822,2.889,627830.1
2025-08-02 15:25:00,2.8889,2.8901,2.8788,2.8788,361627.6
2025-08-02 15:30:00,2.8788,2.8804,2.8536,2.857,2324488.5
2025-08-02 15:35:00,2.857,2.864,2.8553,2.8598,961881.5
2025-08-02 15:40:00,2.8599,2.8615,2.8551,2.8566,475457.8
2025-08-02 15:45:00,2.8567,2.8597,2.833,2.8332,2607384.4
2025-08-02 15:50:00,2.8332,2.8435,2.8322,2.8354,2105493.2
2025-08-02 15:55:00,2.8353,2.8378,2.822,2.83,3484496.2
2025-08-02 16:00:00,2.83,2.8403,2.8275,2.836,1037309.2
2025-08-02 16:05:00,2.8359,2.8446,2.833,2.8362,1044605.3
2025-08-02 16:10:00,2.8362,2.8445,2.8305,2.8357,795900.2
2025-08-02 16:15:00,2.8357,2.8396,2.8246,2.839,1043319.6
2025-08-02 16:20:00,2.839,2.8421,2.8335,2.8411,1137994.2
2025-08-02 16:25:00,2.841,2.8432,2.8312,2.8329,815500.2
2025-08-02 16:30:00,2.833,2.836,2.8122,2.8181,2116807.3
2025-08-02 16:35:00,2.8181,2.8246,2.8117,2.8235,1299946.7
2025-08-02 16:40:00,2.8235,2.8467,2.8231,2.8431,1459729.7
2025-08-02 16:45:00,2.8431,2.8527,2.8412,2.8443,1341832.6
2025-08-02 16:50:00,2.8443,2.8462,2.8317,2.8344,558031.9
2025-08-02 16:55:00,2.8344,2.8446,2.8282,2.8443,404195.6
2025-08-02 17:00:00,2.8442,2.8489,2.8371,2.8488,1407879.3
2025-08-02 17:05:00,2.8487,2.8554,2.8463,2.8533,557445.1
2025-08-02 17:10:00,2.8532,2.8596,2.851,2.8589,736568.0
2025-08-02 17:15:00,2.8589,2.8619,2.852,2.8619,751865.6
2025-08-02 17:20:00,2.8619,2.863,2.8552,2.86,1094697.9
2025-08-02 17:25:00,2.8599,2.8654,2.8599,2.8651,721051.4
2025-08-02 17:30:00,2.8651,2.8658,2.8522,2.8539,588465.2
2025-08-02 17:35:00,2.8538,2.8544,2.8458,2.8459,368334.6
2025-08-02 17:40:00,2.8458,2.8459,2.8342,2.836,433142.0
2025-08-02 17:45:00,2.8361,2.8375,2.8189,2.8223,1516918.2
2025-08-02 17:50:00,2.8224,2.8242,2.8082,2.816,1777929.3
2025-08-02 17:55:00,2.8159,2.8243,2.8159,2.8239,791874.3
2025-08-02 18:00:00,2.824,2.8305,2.8227,2.8272,603963.3
2025-08-02 18:05:00,2.8272,2.8332,2.8131,2.8219,854093.9
2025-08-02 18:10:00,2.8219,2.8235,2.8114,2.8116,459030.4
2025-08-02 18:15:00,2.8116,2.8224,2.8059,2.8118,1649737.4
2025-08-02 18:20:00,2.8117,2.8216,2.8014,2.8031,1374943.9
2025-08-02 18:25:00,2.8031,2.8071,2.7666,2.7673,8309218.0
2025-08-02 18:30:00,2.7673,2.7765,2.753,2.7591,4268161.2
2025-08-02 18:35:00,2.7591,2.773,2.7466,2.7626,4191360.0
2025-08-02 18:40:00,2.7626,2.767,2.7518,2.7627,1337234.8
2025-08-02 18:45:00,2.7626,2.7659,2.75,2.756,2108028.4
2025-08-02 18:50:00,2.756,2.7661,2.7418,2.7526,1832755.7
2025-08-02 18:55:00,2.7526,2.7634,2.7438,2.7605,1736651.7
2025-08-02 19:00:00,2.7605,2.7709,2.7547,2.7686,846290.6
2025-08-02 19:05:00,2.7685,2.78,2.7683,2.7785,964866.4
2025-08-02 19:10:00,2.7784,2.7844,2.7732,2.777,1472692.8
2025-08-02 19:15:00,2.777,2.7887,2.7769,2.7845,939934.7
2025-08-02 19:20:00,2.7845,2.7965,2.7838,2.7958,1057809.5
2025-08-02 19:25:00,2.7958,2.8049,2.788,2.8043,1240529.8
2025-08-02 19:30:00,2.8044,2.8176,2.8037,2.8176,2006703.4
2025-08-02 19:35:00,2.8176,2.8182,2.7924,2.7942,1796225.6
2025-08-02 19:40:00,2.7943,2.8044,2.7943,2.7998,519428.9
2025-08-02 19:45:00,2.7998,2.8007,2.773,2.7769,1310593.6
2025-08-02 19:50:00,2.777,2.787,2.777,2.7793,869094.9
2025-08-02 19:55:00,2.7793,2.7821,2.7748,2.7794,467824.0
2025-08-02 20:00:00,2.7793,2.7859,2.7775,2.783,356907.8
2025-08-02 20:05:00,2.7831,2.7862,2.7762,2.7858,653509.7
2025-08-02 20:10:00,2.7857,2.7953,2.7847,2.7927,535173.0
2025-08-02 20:15:00,2.7926,2.8013,2.7829,2.7829,544125.7
2025-08-02 20:20:00,2.783,2.7886,2.7773,2.7847,495842.3
2025-08-02 20:25:00,2.7846,2.7992,2.7843,2.7921,459359.4
2025-08-02 20:30:00,2.792,2.7942,2.7817,2.7836,460066.2
2025-08-02 20:35:00,2.7835,2.7895,2.7798,2.7806,441819.8
2025-08-02 20:40:00,2.7806,2.7866,2.7798,2.784,523525.1
2025-08-02 20:45:00,2.7839,2.7883,2.78,2.7842,553681.8
2025-08-02 20:50:00,2.7841,2.7908,2.7812,2.7896,524183.2
2025-08-02 20:55:00,2.7895,2.7983,2.7867,2.7979,452598.2
2025-08-02 21:00:00,2.7979,2.8176,2.7965,2.8116,1268973.0
2025-08-02 21:05:00,2.8115,2.8124,2.792,2.8013,702885.3
2025-08-02 21:10:00,2.8013,2.8022,2.785,2.786,417139.8
2025-08-02 21:15:00,2.786,2.7949,2.785,2.7889,467605.0
2025-08-02 21:20:00,2.7888,2.7913,2.7841,2.7867,543677.6
2025-08-02 21:25:00,2.7867,2.7881,2.7791,2.7826,357312.6
2025-08-02 21:30:00,2.7826,2.7945,2.7826,2.791,380699.0
2025-08-02 21:35:00,2.791,2.8009,2.7893,2.7998,361431.8
2025-08-02 21:40:00,2.7998,2.8001,2.792,2.7932,490420.9
2025-08-02 21:45:00,2.7932,2.8053,2.7926,2.8043,261449.3
2025-08-02 21:50:00,2.8043,2.8102,2.8029,2.8076,472690.6
2025-08-02 21:55:00,2.8075,2.8153,2.7989,2.7997,722332.1
2025-08-02 22:00:00,2.7998,2.8147,2.7997,2.8144,422612.2
2025-08-02 22:05:00,2.8145,2.8179,2.8101,2.8118,448227.9
2025-08-02 22:10:00,2.8119,2.8131,2.8055,2.8068,373018.7
2025-08-02 22:15:00,2.8069,2.8073,2.7895,2.7935,606564.5
2025-08-02 22:20:00,2.7935,2.7935,2.7829,2.7856,549644.2
2025-08-02 22:25:00,2.7855,2.7917,2.7842,2.7862,405699.0
2025-08-02 22:30:00,2.7862,2.7956,2.7853,2.7914,416661.3
2025-08-02 22:35:00,2.7913,2.7985,2.789,2.7985,263778.7
2025-08-02 22:40:00,2.7984,2.8046,2.7963,2.8039,487166.8
2025-08-02 22:45:00,2.8039,2.8103,2.8021,2.809,365634.8
2025-08-02 22:50:00,2.8089,2.8108,2.8041,2.8077,435529.6
2025-08-02 22:55:00,2.8076,2.8076,2.7973,2.798,315985.2
2025-08-02 23:00:00,2.798,2.7991,2.7858,2.7876,448048.0
2025-08-02 23:05:00,2.7877,2.7937,2.7819,2.7825,573410.1
2025-08-02 23:10:00,2.7826,2.7826,2.763,2.7696,1196407.1
2025-08-02 23:15:00,2.7696,2.7795,2.7592,2.7619,1428968.9
2025-08-02 23:20:00,2.762,2.7645,2.7559,2.7614,1141498.6
2025-08-02 23:25:00,2.7615,2.7615,2.7387,2.7418,2108167.1
2025-08-02 23:30:00,2.7418,2.7555,2.7416,2.7555,1269582.9
2025-08-02 23:35:00,2.7554,2.7721,2.7506,2.7713,1337649.1
2025-08-02 23:40:00,2.7713,2.79,2.771,2.777,837394.8
2025-08-02 23:45:00,2.7771,2.7851,2.7743,2.7747,752656.1
2025-08-02 23:50:00,2.7747,2.7793,2.76,2.7643,741865.8
2025-08-02 23:55:00,2.7642,2.7701,2.7583,2.7695,571456.8
2025-08-03 00:00:00,2.7695,2.7885,2.7619,2.7885,1555116.1
2025-08-03 00:05:00,2.7885,2.7925,2.7798,2.7864,842399.5
2025-08-03 00:10:00,2.7863,2.788,2.7756,2.7803,721915.7
2025-08-03 00:15:00,2.7804,2.7928,2.7782,2.7847,801699.4
2025-08-03 00:20:00,2.7848,2.7852,2.7517,2.7589,959465.4
2025-08-03 00:25:00,2.7589,2.7664,2.7501,2.7586,810714.3
2025-08-03 00:30:00,2.7587,2.7587,2.744,2.7462,1334782.6
2025-08-03 00:35:00,2.7462,2.7569,2.728,2.752,2966203.7
